,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
42966,56,5,0.03571428571428571,0.05357142857142857,0.5,-0.42857142857142855,0,0,0,1,0,0,0.09
43506,45,20,0.24444444444444444,0.2,0.5777777777777777,-0.022222222222222223,0,0,0,1,0,0,0.44
44603,75,18,0.08,0.16,0.4533333333333333,-0.28,0,0,0,1,0,0,0.24
33070,42,7,0.023809523809523808,0.14285714285714285,0.7142857142857143,-0.2857142857142857,0,1,0,0,0,0,0.17
33931,67,9,0.0,0.13432835820895522,0.9552238805970149,0.11940298507462686,0,1,0,0,0,0,0.13
34824,47,8,0.0,0.1702127659574468,0.7021276595744681,-0.19148936170212766,0,1,0,0,0,0,0.17
42467,70,42,0.11428571428571428,0.4857142857142857,0.45714285714285713,0.3142857142857143,0,1,0,0,0,0,0.6
43288,55,47,0.09090909090909091,0.7636363636363637,0.2545454545454545,0.34545454545454546,0,1,0,0,0,0,0.86
44233,73,68,0.136986301369863,0.7945205479452054,0.3287671232876712,0.1917808219178082,0,1,0,0,0,0,0.93
42534,59,33,0.2033898305084746,0.3559322033898305,0.6271186440677966,-0.11864406779661017,1,0,0,0,0,0,0.56
43691,40,11,0.125,0.15,0.3,-0.375,1,0,0,0,0,0,0.28
44681,51,14,0.09803921568627451,0.17647058823529413,0.29411764705882354,-0.17647058823529413,1,0,0,0,0,0,0.27
25668,82,26,0.12195121951219512,0.1951219512195122,0.9390243902439024,-0.1951219512195122,0,0,0,1,0,0,0.32
26501,81,31,0.20987654320987653,0.1728395061728395,0.6296296296296297,0.13580246913580246,0,0,0,1,0,0,0.38
27522,82,18,0.10975609756097561,0.10975609756097561,0.3902439024390244,-0.17073170731707318,0,0,0,1,0,0,0.22
35731,57,7,0.03508771929824561,0.08771929824561403,0.2982456140350877,-0.19298245614035087,0,0,0,0,1,0,0.12
36655,37,4,0.0,0.10810810810810811,0.6216216216216216,0.0,0,0,0,0,1,0,0.11
37449,80,9,0.05,0.0625,0.2875,-0.1875,0,0,0,0,1,0,0.11
42452,71,43,0.36619718309859156,0.23943661971830985,0.30985915492957744,-0.028169014084507043,1,0,0,0,0,0,0.61
43489,45,21,0.26666666666666666,0.2,0.24444444444444444,-0.17777777777777778,1,0,0,0,0,0,0.47
44366,53,38,0.32075471698113206,0.39622641509433965,0.22641509433962265,0.07547169811320754,1,0,0,0,0,0,0.72
42957,49,6,0.02040816326530612,0.10204081632653061,0.7142857142857143,0.0,0,1,0,0,0,0,0.12
43721,56,10,0.07142857142857142,0.10714285714285714,0.42857142857142855,0.03571428571428571,0,1,0,0,0,0,0.18
44569,74,20,0.0945945945945946,0.17567567567567569,0.6891891891891891,-0.2702702702702703,0,1,0,0,0,0,0.27
42851,49,10,0.08163265306122448,0.12244897959183673,0.46938775510204084,-0.08163265306122448,1,0,0,0,0,0,0.2
43452,52,24,0.19230769230769232,0.2692307692307692,0.25,0.11538461538461539,1,0,0,0,0,0,0.46
44560,73,20,0.1643835616438356,0.1095890410958904,0.8082191780821918,0.0,1,0,0,0,0,0,0.27
32864,75,19,0.10666666666666667,0.14666666666666667,1.2666666666666666,0.05333333333333334,0,0,0,0,1,0,0.25
33831,69,14,0.08695652173913043,0.11594202898550725,1.0579710144927537,-0.028985507246376812,0,0,0,0,1,0,0.2
34915,65,4,0.015384615384615385,0.046153846153846156,0.6923076923076923,-0.24615384615384617,0,0,0,0,1,0,0.06
40130,77,10,0.025974025974025976,0.1038961038961039,0.922077922077922,0.05194805194805195,0,1,0,0,0,0,0.13
41201,38,4,0.02631578947368421,0.07894736842105263,1.631578947368421,-0.02631578947368421,0,1,0,0,0,0,0.11
42023,50,7,0.06,0.08,0.84,0.04,0,1,0,0,0,0,0.14
27288,67,45,0.13432835820895522,0.5373134328358209,0.23880597014925373,-0.014925373134328358,1,0,0,0,0,0,0.67
28436,60,18,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,1,0,0,0,0,0,0.3
29357,60,18,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0,1,0,0,0,0,0,0.3
38360,55,9,0.0,0.16363636363636364,0.7272727272727273,0.16363636363636364,0,1,0,0,0,0,0.16
39352,23,4,0.0,0.17391304347826086,0.6086956521739131,-0.30434782608695654,0,1,0,0,0,0,0.17
40480,4,0,0.0,0.0,1.5,-0.25,0,1,0,0,0,0,0.0
42884,38,9,0.02631578947368421,0.21052631578947367,0.5263157894736842,0.10526315789473684,0,1,0,0,0,0,0.24
43624,56,14,0.07142857142857142,0.17857142857142858,0.32142857142857145,0.26785714285714285,0,1,0,0,0,0,0.25
44471,71,28,0.04225352112676056,0.352112676056338,0.2535211267605634,0.29577464788732394,0,1,0,0,0,0,0.39
34603,75,22,0.04,0.25333333333333335,0.6933333333333334,0.24,0,1,0,0,0,0,0.29
35683,64,9,0.03125,0.109375,0.65625,0.21875,0,1,0,0,0,0,0.14
36654,36,4,0.0,0.1111111111111111,0.5277777777777778,-0.2222222222222222,0,1,0,0,0,0,0.11
42546,69,32,0.15942028985507245,0.30434782608695654,0.42028985507246375,-0.14492753623188406,1,0,0,0,0,0,0.46
43410,56,29,0.25,0.26785714285714285,0.5,-0.32142857142857145,1,0,0,0,0,0,0.52
