playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Petri Skriko,541,405,0.6722222222222223,0.306648979438856,0.36568889517841263,0.43808551881112917,-0.20503507039973107,0.0,0.0,0.0,1.0,0.0,0
Petri Varis,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Petter Granberg,45,2,0.0175,0.0,0.018518518518518517,0.5846560846560847,0.04497354497354497,0.0,1.0,0.0,0.0,0.0,0
Petteri Lehto,6,0,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
Petteri Lindbohm,47,4,0.0675,0.021739130434782608,0.046583850931677016,0.7790372670807453,-0.2894409937888198,0.0,1.0,0.0,0.0,0.0,0
Petteri Nokelainen,245,41,0.16199999999999998,0.07953439569071932,0.08202596042344668,0.39673987206823025,-0.05362757640369581,1.0,0.0,0.0,0.0,0.0,0
Petteri Nummelin,139,45,0.32666666666666666,0.06615712465921401,0.26310463468933415,0.22312701644106336,-0.18283986332845223,0.0,1.0,0.0,0.0,0.0,0
Petteri Wirtanen,3,1,0.33,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0
Peyton Krebs,57,23,0.33499999999999996,0.0660377358490566,0.2665094339622641,0.18867924528301888,-0.0919811320754717,1.0,0.0,0.0,0.0,0.0,0
Phil Besler,30,5,0.115,0.022727272727272728,0.09090909090909091,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0
Phil Bourque,477,199,0.3366666666666667,0.13146118609102578,0.2058658095674127,1.0756732891053067,-0.184898671744558,0.0,0.0,0.0,1.0,0.0,0
Phil Crowe,94,9,0.11666666666666668,0.06597222222222222,0.04841294458229942,1.8423972980424592,0.09789426523297491,0.0,0.0,0.0,1.0,0.0,0
